revision,datetime,creator,display_name,status
/en-US/kb/archived-messages/revision/255721,2023-01-14T21:48:39-08:00,/en-US/user/myo33/,myo33,unreviewed
/en-US/kb/archived-messages/revision/200061,2020-05-09T01:24:51-07:00,/en-US/user/eldonquijote23/,eldonquijote23,approved
/en-US/kb/archived-messages/revision/107446,2015-10-26T03:53:20-07:00,/en-US/user/vesper/,vesper,rejected
/en-US/kb/archived-messages/revision/107213,2015-10-23T03:21:41-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/archived-messages/revision/79864,2014-10-26T12:12:13-07:00,/en-US/user/marsf/,marsf,unreviewed
/en-US/kb/archived-messages/revision/79247,2014-10-22T18:36:44-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/archived-messages/revision/57387,2014-03-05T18:24:25-08:00,/en-US/user/dyvik1001/,Dyvik Chenna,approved
/en-US/kb/archived-messages/revision/54324,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/automatic-account-configuration/revision/279725,2024-05-10T14:34:34.923403-07:00,/en-US/user/Mozinet/,Mozinet,current
/en-US/kb/automatic-account-configuration/revision/276412,2024-02-15T16:16:31.971951-08:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/automatic-account-configuration/revision/264562,2023-08-16T13:40:02-07:00,/en-US/user/mihait/,mihait,approved
/en-US/kb/automatic-account-configuration/revision/262006,2023-06-09T06:27:54-07:00,/en-US/user/plwt/,Paul,approved
/en-US/kb/automatic-account-configuration/revision/209006,2020-10-11T14:48:35-07:00,/en-US/user/MattAuSupport/,Matt,approved
/en-US/kb/automatic-account-configuration/revision/208325,2020-09-24T20:31:37-07:00,/en-US/user/Toad-Hall/,Toad-Hall,approved
/en-US/kb/automatic-account-configuration/revision/157973,2018-03-11T22:15:34-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156888,2018-02-11T00:31:28-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156886,2018-02-10T23:31:59-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156735,2018-02-06T08:52:39-08:00,/en-US/user/Artist/,Artist,approved
/en-US/kb/automatic-account-configuration/revision/156387,2018-01-31T06:59:07-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/automatic-account-configuration/revision/140244,2017-06-03T01:10:02-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/134756,2016-11-08T19:33:20-08:00,/en-US/user/user917725/,user917725,approved
/en-US/kb/automatic-account-configuration/revision/107447,2015-10-26T03:54:13-07:00,/en-US/user/vesper/,vesper,approved
/en-US/kb/automatic-account-configuration/revision/77323,2014-10-01T22:10:50-07:00,/en-US/user/user917725/,user917725,approved
/en-US/kb/automatic-account-configuration/revision/77056,2014-09-27T02:00:41-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/75862,2014-09-11T19:07:14-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/75160,2014-09-05T19:04:27-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/56467,2014-02-24T02:14:52-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/automatic-account-configuration/revision/54325,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/270016,2023-11-09T00:17:35-08:00,/en-US/user/abradaranhagh/,Ashkan B,current
/en-US/kb/keyboard-shortcuts-thunderbird/revision/270015,2023-11-09T00:16:33-08:00,/en-US/user/abradaranhagh/,Ashkan B,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269882,2023-11-07T03:58:43-08:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269261,2023-11-02T01:37:09-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269199,2023-11-01T15:05:59-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269198,2023-11-01T14:55:37-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/264180,2023-08-05T19:15:06-07:00,/en-US/user/Y.D./,YD,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/263224,2023-07-12T06:09:06-07:00,/en-US/user/Mozinet/,Mozinet,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/262558,2023-06-29T05:33:09-07:00,/en-US/user/philipp/,philipp,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/257687,2023-03-06T22:44:21-08:00,/en-US/user/Mozinet/,Mozinet,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/255793,2023-01-16T04:50:13-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/251936,2022-10-17T07:58:39-07:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236245,2022-01-11T04:46:24-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236240,2022-01-11T03:31:27-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236208,2022-01-10T16:54:46-08:00,/en-US/user/chdlr/,chdlr,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/210002,2020-11-01T02:42:06-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/201720,2020-06-13T12:53:44-07:00,/en-US/user/rohan.rhnvrm/,rhnvrm,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/190748,2019-11-22T18:07:18-08:00,/en-US/user/Tacsipacsi/,Tacsipacsi,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/171263,2018-11-19T06:47:56-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/167301,2018-09-23T09:21:45-07:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/167269,2018-09-23T00:37:54-07:00,/en-US/user/upwinxp/,Lan,unreviewed
